record-type,attack-v18-attack-id,attack-v19-attack-id,attack-v18-stix-id,attack-v19-stix-id,attack-v18-name,attack-v19-name,attack-v19-parent-attack-id,attack-v18-tactics,attack-v19-tactics,explanation,technique-change-type,tactic-change-type
Existing Technique,T1574.012,T1574.012,attack-pattern--ffeb0780-356e-4261-b036-cfb6bd234335,attack-pattern--ffeb0780-356e-4261-b036-cfb6bd234335,Hijack Execution Flow: COR_PROFILER,Hijack Execution Flow: COR_PROFILER,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.001,T1574.001,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,attack-pattern--2fee9321-3e71-4cf4-af24-d4d40d355b34,Hijack Execution Flow: DLL,Hijack Execution Flow: DLL,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.004,T1574.004,attack-pattern--fc742192-19e3-466c-9eb5-964a97b29490,attack-pattern--fc742192-19e3-466c-9eb5-964a97b29490,Hijack Execution Flow: Dylib Hijacking,Hijack Execution Flow: Dylib Hijacking,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.006,T1574.006,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,Hijack Execution Flow: Dynamic Linker Hijacking,Hijack Execution Flow: Dynamic Linker Hijacking,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.005,T1574.005,attack-pattern--70d81154-b187-45f9-8ec5-295d01255979,attack-pattern--70d81154-b187-45f9-8ec5-295d01255979,Hijack Execution Flow: Executable Installer File Permissions Weakness,Hijack Execution Flow: Executable Installer File Permissions Weakness,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.013,T1574.013,attack-pattern--a4657bc9-d22f-47d2-a7b7-dd6ec33f3dde,attack-pattern--a4657bc9-d22f-47d2-a7b7-dd6ec33f3dde,Hijack Execution Flow: KernelCallbackTable,Hijack Execution Flow: KernelCallbackTable,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.007,T1574.007,attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32,attack-pattern--0c2d00da-7742-49e7-9928-4514e5075d32,Hijack Execution Flow: Path Interception by PATH Environment Variable,Hijack Execution Flow: Path Interception by PATH Environment Variable,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.008,T1574.008,attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2,attack-pattern--58af3705-8740-4c68-9329-ec015a7013c2,Hijack Execution Flow: Path Interception by Search Order Hijacking,Hijack Execution Flow: Path Interception by Search Order Hijacking,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.009,T1574.009,attack-pattern--bf96a5a3-3bce-43b7-8597-88545984c07b,attack-pattern--bf96a5a3-3bce-43b7-8597-88545984c07b,Hijack Execution Flow: Path Interception by Unquoted Path,Hijack Execution Flow: Path Interception by Unquoted Path,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
Existing Technique,T1574.010,T1574.010,attack-pattern--9e8b28c9-35fe-48ac-a14d-e6cc032dcbcd,attack-pattern--9e8b28c9-35fe-48ac-a14d-e6cc032dcbcd,Hijack Execution Flow: Services File Permissions Weakness,Hijack Execution Flow: Services File Permissions Weakness,T1574,defense-evasion;persistence;privilege-escalation,stealth;execution,,Remains sub-technique,"Remains TA0005 -> renamed Stealth, and Remains in Additional Tactic(s)"
